file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00522_0257_1672511_to_1674623,ཀ་བ་ཡིན་ན་ཟེར་མྱི་གཅིག་གཅིག་གཅིག་ཡོད་རེད་ཟེར་དཱ།  ,ka ba yin na zer myi gcig gcig gcig yod red zer dA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00522_0257_1672511_to_1674623.wav,STT_TT,3,50,2.112,wav16k/STT_TT00522_0257_1672511_to_1674623.wav,ཀ་བ་ཡིན་ན་ཟེར་ངེ་ཅིགཅིག་ཅིག་ཡོད་རེད་ཟེ་ད།
STT_TT00508_0012_92073_to_94223,འཇིག་རྟེན་དང་འཇིག་རྟེན་ལས་འདས་པ་དང་།  ,'jig rten dang 'jig rten las 'das pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00508_0012_92073_to_94223.wav,STT_TT,3,38,2.15,wav16k/STT_TT00508_0012_92073_to_94223.wav,འཇིག་རྟེན་དང་འཇིག་རྟེན་ལས་འདས་པ་དང་།
STT_TT00615_0288_2394564_to_2397022,ཡང་ཆོག་ཤེས་བྱེད་བསྡད་ཡ་དེ། དེ་ནོར་འཁྲུལ་རེད་འདུག་གཱ།  ,yang chog shes byed bsdad ya de/_de nor 'khrul red 'dug gA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00615_0288_2394564_to_2397022.wav,STT_TT,3,54,2.458,wav16k/STT_TT00615_0288_2394564_to_2397022.wav,ཡང་ཆོག་ཤེས་བྱས་བསྡད་ཡ་དེ། དེ་ནོར་འཁྲུལ་རེད་འདུག་ག
STT_TT00519_0477_2675022_to_2678350,འདོར་འདས་སུ་འདུ་འོ་ཟེར། ད་སྲོག་རྩོལ་དེ་འདོར་འདས་འདུ་བ་གཅིག་པ་རེད།  ,'dor 'das su 'du 'o zer/_da srog rtsol de 'dor 'das 'du ba gcig pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00519_0477_2675022_to_2678350.wav,STT_TT,3,67,3.328,wav16k/STT_TT00519_0477_2675022_to_2678350.wav,རྡོར་བཟླས་སུ་འདུའོ་ཟེ། ད་སྲོག་རྩོལ་དེ་རྡོར་བཟླས་འདུ་བ་གཅིག་པ་རེད།
STT_TT00610_0024_180605_to_190366,དབུ་རྙོག་བྱུང་བ་མིན་འགྲོ། ཧ་ཧ་ཧ་རྙོག་དྲ་ཚ་བོ་ཞེ་བོ་ཅིག་ལ་བརྩིས་པ་འདྲ་འདུག་བ། བྱས་ཙང་ད་དེ་རྒྱ་ཡིག་བཙུགས་ཀིན་བསྡད་པ་ལས། ང་རང་ཚོའི་ཡི་གེ་གསར་པ་གཅིག་བཟོས་བྱས།  ,dbu rnyog byung ba min 'gro/_ha ha ha rnyog dra tsha bo zhe bo cig la brtsis pa 'dra 'dug ba/_byas tsang da de rgya yig btsugs kin bsdad pa las/_nga rang tsho'i yi ge gsar pa gcig bzos byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00610_0024_180605_to_190366.wav,STT_TT,3,156,9.761,wav16k/STT_TT00610_0024_180605_to_190366.wav,དབུ་རྙོག་བྱུང་བ་མིན་འགྲོ། ཧ་ཧ་། རྙོག་དྲ་ཚ་བོ་ཞེ་བོ་ཅིག་གཟིགས་པ་འདྲ་འདུག་ག བྱས་ཙང་ད་འདེ་རྒྱ་ཡིག་བཙུགས་ཀིན་བསྡད་པ་ལས། ང་རང་ཚོས་ཡི་གེ་གསར་པ་ཅིག་བཟོས་བྱས།
STT_TT00543_0350_2411878_to_2413926,བློ་ཡི་ངོ་བོ་ལ་བརྟེན་ནས་ཕྲ་རགས་འདྲ་བོ་ཅིག ,blo yi ngo bo la brten nas phra rags 'dra bo cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00543_0350_2411878_to_2413926.wav,STT_TT,3,42,2.048,wav16k/STT_TT00543_0350_2411878_to_2413926.wav,བློ་ཡི་ངོ་བོ་ལ་བརྟེས་ནས་ཕྲ་རགས་འདྲ་བོ་ཅིག
STT_TT00245_603.850-608.700,རྣམ་ཐར་བཏང་། དེ་འདྲའི་གོ་ཡོང་གི་འདུག་ན། ཨོ་ད་ང་ཏོག་ཙི་ཕྱི་དྲགས་སོང་ད། ཁོ་ཚོ་ཡ་གིར་འཛོམས་ཚར་ཤག སྐྱིད་མདོག་ཁག་པོ་ར་བྱས་བསྡད་ཤག་བསམ་བྱས།  ,rnam thar btang /_de 'dra'i go yong gi 'dug na/_o da nga tog tsi phyi drags song da/_kho tsho ya gir 'dzoms tshar shag_skyid mdog khag po ra byas bsdad shag bsam byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00245_603.850-608.700.wav,STT_TT,3,135,4.850000000000023,wav16k/STT_TT00245_603.850-608.700.wav,རྣམ་ཐར་བཏང་དེ་འདྲའི་གོ་ཡོང་གི་འདུག་ན། ཨོ་ད་ང་ཏོག་ཙི་ཕྱིན་དྲགས་པརད་ད། ཁོ་ཚོ་ཡ་གིར་འཛོམས་ཚར་ཤག སྐྱིད་མདོག་ཁ་པོ་ཅིག་བསྡད་ཤག་བསམ་བྱས།
STT_TT00425_6.700-12.550,ཨེ་ནས། སྔ་མོ་དཔེ་ཅིག དགའ་ས་ཡག་ས་ཞེ་བོ་ཅིག་བྱས། ཅིག་སྙིང་ཉེ་བོ་ཞེ་བོ་ཅིག་བྱས། འཆམ་པོ་མཐུན་པོ་ཞེ་བོ་ཅིག་བྱས། ཕུགས་ཀི་སྐད་ཆ་ཅིག་ད། ཞེ་བོ་ཤོད་རེས་བརྒྱབས།  ,e nas/_snga mo dpe cig_dga' sa yag sa zhe bo cig byas/_cig snying nye bo zhe bo cig byas/_'cham po mthun po zhe bo cig byas/_phugs ki skad cha cig da/_zhe bo shod res brgyabs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00425_6.700-12.550.wav,STT_TT,3,151,5.8500000000000005,wav16k/STT_TT00425_6.700-12.550.wav,ཨེ་ནས། སྔ་མོ་དཔེ་ཅིག་དགའ་ས་ཡག་ས་ཞེ་བོ་ཅི་བྱས། ཅིག་སྙིང་ཉེ་བོ་ཞེ་བོ་ཅི་བྱས། འཆམ་པོ་མཐུན་པོ་ཞེ་བོ་བྱས། ཕུགས་ཀི་སྐད་ཆ་ཅིག་དྟ་ཞེ་བོ་ཤོད་རེས་བརྒྱབ།
STT_TT00508_0518_4980588_to_4983080,འདིའི་གཞུང་སློབ་སྦྱོང་གནང་དགོས་ཡ་དེ་གལ་ཆེན་པོ་རེད་ཤག ,'di'i gzhung slob sbyong gnang dgos ya de gal chen po red shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00508_0518_4980588_to_4983080.wav,STT_TT,3,53,2.492,wav16k/STT_TT00508_0518_4980588_to_4983080.wav,འདིའི་གཞུང་སློབ་སྦྱོང་གནང་དགོས་ཡ་འདི་གལ་ཆེན་པོ་རེད་ཤག
STT_TT00612_0352_2771527_to_2774564,ད་གཙོ་བོ་གཙོ་བོ་རྒྱ་གར་གི་སེམས་ཁམས་རིག་པའི་ཐོག་ནས།  ,da gtso bo gtso bo rgya gar gi sems khams rig pa'i thog nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00612_0352_2771527_to_2774564.wav,STT_TT,3,52,3.037,wav16k/STT_TT00612_0352_2771527_to_2774564.wav,ད་གཙོ་བོ་གཙོ་བོ། རྒྱ་གར་གི་སེམས་ཁམས་རིག་པའི་ཐོག་ནས།
